,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
290,Touros,40,BR,1561313150,69,-5.2,-35.46,82.4,13.87
291,Santa Rosa,85,AR,1561313152,54,-36.62,-64.29,63.79,4.18
292,Narasannapeta,5,IN,1561313153,84,18.42,84.04,82.15,2.84
293,Aketi,22,CD,1561313153,84,2.74,23.78,73.51,0.76
294,Ancud,75,CL,1561313154,93,-41.87,-73.83,50.0,13.87
295,Daru,100,SL,1561313154,87,7.99,-10.85,76.93,6.4
296,Valparaiso,75,US,1561313056,61,41.47,-87.06,82.4,17.22
297,Tazovskiy,49,RU,1561313155,60,67.47,78.7,50.47,12.57
298,Lima,90,PE,1561313155,72,-12.06,-77.04,64.4,6.93
299,Tocopilla,42,CL,1561313156,82,-22.09,-70.2,58.93,3.18
300,El Oro,0,ES,1561313156,32,39.3,-0.92,86.0,9.17
301,Rovaniemi,90,FI,1561313157,100,66.5,25.72,44.6,6.93
302,Yatou,75,CM,1561313157,88,3.63,9.81,80.6,5.82
303,Nelson Bay,75,AU,1561313157,100,-32.72,152.14,52.0,5.82
304,Paamiut,100,GL,1561313158,91,61.99,-49.67,38.23,3.67
305,Alberton,0,ZA,1561313158,34,-26.25,28.13,55.99,2.77
306,Cururupu,37,BR,1561313158,89,-1.82,-44.87,80.35,3.69
307,Pell City,75,US,1561313159,74,33.59,-86.29,90.0,4.7
308,Moshenskoye,68,RU,1561313159,68,58.52,34.59,59.83,4.72
309,Frontera,75,MX,1561313159,62,18.53,-92.64,89.6,12.84
310,Alta Floresta,40,BR,1561313160,38,-9.87,-56.08,89.6,6.93
311,Markova,40,RU,1561313160,100,52.21,104.21,57.2,4.47
312,Churapcha,5,RU,1561313161,77,62.0,132.43,55.33,8.01
313,Ussel,99,FR,1561313161,63,45.55,2.31,81.0,1.99
314,Anderson,20,US,1561313162,55,34.51,-82.65,87.8,5.82
315,Petatlan,75,MX,1561313162,66,17.52,-101.27,89.6,11.41
316,Elin Pelin,75,BG,1561313162,61,42.67,23.6,77.0,9.17
317,Salo,0,FI,1561313163,48,60.38,23.13,66.2,6.93
318,Katsuura,40,JP,1561313163,88,33.93,134.5,68.0,9.17
319,Sechura,2,PE,1561313164,93,-5.56,-80.82,63.07,14.18
320,Kulhudhuffushi,100,MV,1561313164,76,6.62,73.07,83.95,18.68
321,Fort Wayne,1,US,1561313165,36,41.08,-85.14,81.0,12.75
322,Jidong,0,CN,1561313165,91,45.25,131.14,55.87,1.63
323,Marawi,100,PH,1561313166,89,8.0,124.29,77.0,5.01
324,Shellbrook,75,CA,1561313166,77,53.22,-106.39,60.8,11.41
325,Pangnirtung,75,CA,1561313167,75,66.15,-65.72,44.6,19.46
326,Prachuap Khiri Khan,100,TH,1561313167,99,11.81,99.79,72.25,3.29
327,Husavik,11,CA,1561313168,43,50.56,-96.99,72.0,5.01
328,The Valley,40,AI,1561313168,66,18.22,-63.06,87.01,16.11
329,Klaksvik,0,FO,1561313168,71,62.23,-6.59,53.6,3.36
330,Yulara,0,AU,1561313169,41,-25.24,130.99,42.8,6.93
331,Lorengau,90,PG,1561313169,80,-2.02,147.27,79.09,3.47
332,Codrington,75,AU,1561313170,76,-28.95,153.24,51.8,8.05
333,Rundu,0,NA,1561313170,32,-17.91,19.77,69.8,1.12
334,Broome,100,GB,1561313171,77,52.47,1.45,69.01,9.17
335,Axim,99,GH,1561313171,88,4.87,-2.24,77.29,10.71
336,Faanui,90,PF,1561313171,81,-16.48,-151.75,78.01,26.4
337,Norman Wells,75,CA,1561313172,56,65.28,-126.83,68.0,6.93
338,San Quintin,100,PH,1561313173,89,17.54,120.52,76.39,3.09
339,Terra Santa,78,BR,1561313173,49,-2.1,-56.49,89.53,6.8
340,Beringovskiy,100,RU,1561313174,86,63.05,179.32,49.57,4.34
341,Diego de Almagro,0,CL,1561313175,51,-26.39,-70.05,66.13,8.21
342,Evensk,100,RU,1561313175,86,61.92,159.24,47.41,2.08
343,Maputo,40,MZ,1561313115,78,-25.97,32.57,71.6,9.17
344,Aksarka,82,RU,1561313175,85,66.56,67.8,54.07,7.96
345,East Linton,0,GB,1561313176,48,55.99,-2.66,64.4,12.75
346,Coahuayana,74,MX,1561313176,54,18.62,-100.35,89.89,2.89
347,Yumen,100,CN,1561313177,42,40.29,97.04,74.77,1.95
348,Mogadishu,9,SO,1561313177,87,2.04,45.34,75.85,9.71
349,Coquimbo,20,CL,1561313178,76,-29.95,-71.34,73.0,9.17
350,Clyde River,75,CA,1561313178,75,70.47,-68.59,41.0,17.22
351,Burgeo,100,CA,1561313179,85,47.61,-57.61,46.87,28.68
352,Mangrol,7,IN,1561313179,33,25.33,76.51,95.29,8.86
353,Port Moresby,74,PG,1561313180,87,-9.47,147.16,78.19,18.28
354,Bonavista,100,CA,1561313180,83,48.65,-53.11,50.0,21.99
355,Muroto,54,JP,1561313180,89,33.37,134.14,61.99,5.01
356,Flinders,75,AU,1561313181,100,-34.58,150.85,53.01,13.87
357,Esperance,75,TT,1561313169,88,10.24,-61.45,87.01,3.89
358,Mount Isa,0,AU,1561313182,27,-20.73,139.49,50.0,9.17
359,Polunochnoye,34,RU,1561313182,92,60.87,60.43,57.85,3.67
360,Ambon,0,FR,1561313183,64,47.55,-2.56,73.99,12.75
361,Mandiana,95,GN,1561313183,66,10.62,-8.7,85.21,1.05
362,Gorontalo,3,ID,1561313183,93,0.54,123.06,74.23,5.08
363,Matangad,100,PH,1561313184,89,8.58,124.37,77.0,5.01
364,Nhulunbuy,40,AU,1561313184,73,-12.18,136.78,69.8,8.05
365,Balakovo,13,RU,1561313185,56,52.02,47.82,76.03,4.32
366,Celestun,29,MX,1561313185,57,20.87,-90.4,90.07,13.6
367,Constitucion,5,MX,1561313185,23,23.99,-104.67,78.01,8.05
368,East London,0,ZA,1561313186,72,-33.02,27.91,60.8,9.17
369,Sao Filipe,52,CV,1561313187,76,14.9,-24.5,73.69,14.07
